date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:57	90653/90653	---M--	200	added ('OK')	image/png	etag:%22572caba7-1621d%22	http://shop.azelab.com/images/home_store/book-3.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-3.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:00	57791/57791	---M--	200	added ('OK')	image/png	etag:%22572caba8-e1bf%22	http://shop.azelab.com/images/home_store/book-5.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-5.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:02	48505/48505	---M--	200	added ('OK')	image/png	etag:%22572caba8-bd79%22	http://shop.azelab.com/images/home_store/book-6.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-6.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:08	67583/67583	---M--	200	added ('OK')	image/png	etag:%22572caba9-107ff%22	http://shop.azelab.com/images/home_store/book-7.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-7.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:24	143482/143482	---M--	200	added ('OK')	image/png	etag:%22572cabaa-2307a%22	http://shop.azelab.com/images/home_store/book-8.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-8.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:25	100964/100964	---M--	200	added ('OK')	image/png	etag:%22572caba4-18a64%22	http://shop.azelab.com/images/home_store/book-10.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-10.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:25	144588/144588	---M--	200	added ('OK')	image/png	etag:%22572cabac-234cc%22	http://shop.azelab.com/images/home_store/book-9.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-9.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:28	15603/15603	---M--	200	added ('OK')	image/jpeg	etag:%22572cabab-3cf3%22	http://shop.azelab.com/images/home_store/special.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home_store/special.jpg	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:29	3834/3834	---M--	200	added ('OK')	image/jpeg	etag:%22572cabac-efa%22	http://shop.azelab.com/images/home_store/vp-1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home_store/vp-1.jpg	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:30	3277/3277	---M--	200	added ('OK')	image/jpeg	etag:%22572cabad-ccd%22	http://shop.azelab.com/images/home_store/vp-2.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home_store/vp-2.jpg	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:31	3586/3586	---M--	200	added ('OK')	image/jpeg	etag:%22572cabad-e02%22	http://shop.azelab.com/images/home_store/vp-3.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home_store/vp-3.jpg	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:38	35868/35868	---M--	200	added ('OK')	image/jpeg	etag:%22572cab42-8c1c%22	http://shop.azelab.com/images/banner1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/banner1.jpg	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:38	94294/94294	---M--	200	added ('OK')	image/png	etag:%22572caba5-17056%22	http://shop.azelab.com/images/home_store/book-11.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-11.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:31:44	461964/461964	---M--	200	added ('OK')	image/jpeg	etag:%22572cabe3-70c8c%22	http://shop.azelab.com/images/home-2/featured/pd8.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-2/featured/pd8.jpg	(from http://shop.azelab.com/home-2-furniture.html)
11:31:44	124360/124360	---M--	200	added ('OK')	image/png	etag:%22572caba6-1e5c8%22	http://shop.azelab.com/images/home_store/book-12.png	D:/NODEJS/Shop/shop.azelab.com/images/home_store/book-12.png	(from http://shop.azelab.com/home-3-bookstore.html)
11:32:49	438925/438925	---M--	200	added ('OK')	image/jpeg	etag:%22572cab90-6b28d%22	http://shop.azelab.com/images/home-4/1.jpg	D:/NODEJS/Shop/shop.azelab.com/images/home-4/1.jpg	(from http://shop.azelab.com/home-4-electronics.html)
